datetime,hour,day_of_week,month,is_weekend,season,is_holiday,peak_label,tariff_inr,solar_generation_kw,consumption_kw,surplus_kw,battery_soc_kwh,grid_import_kw,grid_export_kw,action,tariff_lag_1h,tariff_lag_24h,tariff_lag_168h,tariff_next_6h_avg,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos
2023-01-01 00:00:00,0,6,1,1,winter,0,off_peak,2.331,0.0,0.412,-0.412,2.5,0.412,0.0,USE,2.331,2.331,2.331,4.298,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 01:00:00,1,6,1,1,winter,0,off_peak,2.236,0.0,0.667,-0.667,2.5,0.667,0.0,USE,2.331,2.331,2.331,4.298,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 02:00:00,2,6,1,1,winter,0,off_peak,2.353,0.001,0.525,-0.524,2.5,0.524,0.0,USE,2.236,2.331,2.331,4.298,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 03:00:00,3,6,1,1,winter,0,off_peak,2.485,0.003,0.639,-0.636,2.5,0.636,0.0,USE,2.353,2.331,2.331,4.298,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 04:00:00,4,6,1,1,winter,0,off_peak,2.221,0.012,0.565,-0.553,2.5,0.553,0.0,USE,2.485,2.331,2.331,4.298,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 05:00:00,5,6,1,1,winter,0,off_peak,2.221,0.037,0.677,-0.64,2.5,0.64,0.0,USE,2.221,2.331,2.331,4.298,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 06:00:00,6,6,1,1,winter,0,mid_peak,4.298,0.118,1.202,-1.084,2.5,1.084,0.0,USE,2.221,2.331,2.331,4.298,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 07:00:00,7,6,1,1,winter,0,mid_peak,4.176,0.444,2.114,-1.67,2.5,1.67,0.0,USE,4.298,2.331,2.331,4.237,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 08:00:00,8,6,1,1,winter,0,mid_peak,3.991,0.571,2.651,-2.08,2.5,2.08,0.0,USE,4.176,2.331,2.331,4.155,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 09:00:00,9,6,1,1,winter,0,mid_peak,4.143,1.428,2.183,-0.755,2.5,0.755,0.0,USE,3.991,2.331,2.331,4.152,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 10:00:00,10,6,1,1,winter,0,peak_day,2.638,1.468,1.32,0.148,2.5,0.0,0.0,STORE,4.143,2.331,2.331,3.8492000000000006,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 11:00:00,11,6,1,1,winter,0,peak_day,2.638,2.358,0.944,1.414,2.633,0.0,0.0,STORE,2.638,2.331,2.331,3.6473333333333335,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 12:00:00,12,6,1,1,winter,0,peak_day,2.744,2.584,0.893,1.691,3.906,0.0,0.475,STORE,2.638,2.331,2.331,3.388333333333333,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 13:00:00,13,6,1,1,winter,0,peak_day,2.421,2.252,0.809,1.443,5.0,0.0,1.443,EXPORT,2.744,2.331,2.331,3.095833333333333,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 14:00:00,14,6,1,1,winter,0,mid_peak,3.803,1.908,0.83,1.078,5.0,0.0,1.078,EXPORT,2.421,2.331,2.331,3.0645000000000002,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 15:00:00,15,6,1,1,winter,0,mid_peak,3.977,1.376,0.984,0.392,5.0,0.0,0.392,EXPORT,3.803,2.331,2.331,3.0368333333333335,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 16:00:00,16,6,1,1,winter,0,mid_peak,3.909,0.771,1.317,-0.546,5.0,0.546,0.0,USE,3.977,2.331,2.331,3.248666666666667,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 17:00:00,17,6,1,1,winter,0,mid_peak,4.108,0.429,2.012,-1.583,5.0,1.583,0.0,USE,3.909,2.331,2.331,3.493666666666666,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 18:00:00,18,6,1,1,winter,0,peak_eve,6.181,0.117,3.171,-3.054,5.0,0.0,0.0,USE,4.108,2.331,2.331,4.0665,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 19:00:00,19,6,1,1,winter,0,peak_eve,6.106,0.059,3.399,-3.34,1.607,1.894,0.0,USE,6.181,2.331,2.331,4.680666666666666,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 20:00:00,20,6,1,1,winter,0,peak_eve,6.537,0.018,2.889,-2.871,0.0,2.871,0.0,USE,6.106,2.331,2.331,5.136333333333333,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 21:00:00,21,6,1,1,winter,0,peak_eve,6.284,0.004,1.977,-1.973,0.0,1.973,0.0,USE,6.537,2.331,2.331,5.520833333333333,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01 22:00:00,22,6,1,1,winter,0,peak_eve,6.328,0.001,0.828,-0.827,0.0,0.827,0.0,USE,6.284,2.331,2.331,5.9239999999999995,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
